Rang	Ville	Habitants	Superficie	Densité	HabitantsAglo	Agglomération
115	Écublens, VD	12 181	5,71	2 133,3	 	Lausanne
116	Affoltern am Albis, ZH	11 063	10,61	1 042,7	 	Zurich
117	Bassersdorf, ZH	11 052	9,02	1 225,3	 	Zurich
118	Ittigen, BE	11 067	4,21	2 628,7	 	Berne
119	Spreitenbach, AG	10 982	8,60	1 277	 	Zurich
120	Zofingue, AG	11 070	11,09	998,2	110 352	Olten - Zofingue
121	Münsingen, BE	11 651	8,48	1 373,9	 	Berne
122	Altstätten, SG	10 819	39,49	274	53 671	Heerbrugg – Altstätten
123	Val-de-Travers, NE	10 913	124,91	87,4	 	 
124	La Tour-de-Peilz, VD	11 207	3,24	3 459	 	Vevey – Montreux
125	Arth, SZ	10 699	42,08	254,3	 	 
126	Pfäffikon, ZH	10 602	19,55	542,3	51 163	Wetzikon - Pfäffikon
127	Oberwil, BL	10 505	7,88	1 333,1	 	Bâle
128	Männedorf, ZH	10 437	4,77	2 188,1	 	Zurich
129	Brugg, AG	10 889	6,36	1 712,1	116 963	Baden – Brugg
130	Chêne-Bougeries, GE	11 318	4,13	2 740,4	 	Genève
131	Birsfelden, BL	10 389	2,52	4 122,6	 	Bâle
132	Hinwil, ZH	10 364	22,30	464,8	 	Wetzikon - Pfäffikon
133	Aesch, BL	10 255	7,39	1 387,7	 	Bâle
134	Veyrier, GE	11 298	6,50	1 738,2	 	Genève
135	Belp, BE	11 346	17,59	645	 	Berne
136	Neuhausen am Rheinfall, SH	10 185	8,00	1 273,1	 	Schaffhouse
137	Weinfelden, TG	10 141	15,50	654,3	 	 
138	Le Locle, NE	10 422	23,14	450,4	47 375	La Chaux-de-Fonds - Le Locle
139	Möhlin, AG	10 617	18,79	565	 	Bâle
